0,0,0.17919057607650757
0,500,0.0013396641006693244
0,1000,0.0008801135700196028
0,1500,0.001029541133902967
0,2000,0.0008064410067163408
0,2500,0.00088352186139673
0,3000,0.000860246829688549
0,3500,0.0007669281912967563
0,4000,0.0007920540519990027
0,4500,0.0006958404555916786
0,5000,0.0005581597797572613
0,5500,0.0006046615308150649
0,6000,0.0006157018942758441
0,6500,0.0006067611393518746
0,7000,0.0005925975274294615
0,7500,0.0005778986378572881
1,0,0.0006150374538265169
1,500,0.000550724274944514
1,1000,0.0005475882790051401
1,1500,0.0007035926100797951
1,2000,0.0004901874926872551
1,2500,0.0005599167197942734
1,3000,0.0005029652384109795
1,3500,0.0005054353969171643
1,4000,0.0005038671079091728
1,4500,0.0004928925191052258
1,5000,0.00034952748683281243
1,5500,0.00041295919800177217
1,6000,0.00042774484609253705
1,6500,0.000442202523117885
1,7000,0.00044029910350218415
1,7500,0.000439424067735672
2,0,0.0004447715764399618
2,500,0.0004517636261880398
2,1000,0.0004126328567508608
2,1500,0.0005699895555153489
2,2000,0.0003850868088193238
2,2500,0.000465997465653345
2,3000,0.0004066628753207624
2,3500,0.0004376021970529109
2,4000,0.0004211153427604586
2,4500,0.0004201663250569254
2,5000,0.0002941555285360664
2,5500,0.0003654039464890957
2,6000,0.00037985394010320306
2,6500,0.0003821670834440738
2,7000,0.0003843007143586874
2,7500,0.00041476916521787643
3,0,0.0003667666169349104
3,500,0.0004005150985904038
3,1000,0.00037572227302007377
3,1500,0.0005458898958750069
3,2000,0.00033432504278607666
3,2500,0.0003967680677305907
3,3000,0.0003690224257297814
3,3500,0.00040236260974779725
3,4000,0.00039454546640627086
3,4500,0.0003757658996619284
3,5000,0.00027317364583723247
3,5500,0.0003436664119362831
3,6000,0.0003246288397349417
3,6500,0.00036426648148335516
3,7000,0.0003464269684627652
3,7500,0.0003868750063702464
4,0,0.00033792766043916345
4,500,0.0003518274752423167
4,1000,0.00034955094452016056
4,1500,0.00046229641884565353
4,2000,0.0003197516780346632
4,2500,0.0003925389319192618
4,3000,0.0003452678211033344
4,3500,0.0003651614533737302
4,4000,0.0003742797707673162
4,4500,0.00033725687535479665
4,5000,0.0002566043403930962
4,5500,0.0003138946776743978
4,6000,0.00032637009280733764
4,6500,0.0003301916876807809
4,7000,0.00034016722929663956
4,7500,0.0003774664946831763
5,0,0.00032197166001424193
5,500,0.00032969037420116365
5,1000,0.00032218231353908777
5,1500,0.0004317550337873399
5,2000,0.00029423568048514426
5,2500,0.0003647464618552476
5,3000,0.00032898204517550766
5,3500,0.00036472867941483855
5,4000,0.00036689272383227944
5,4500,0.00033410091418772936
5,5000,0.00024045626923907548
5,5500,0.00029611855279654264
5,6000,0.0003169174597132951
5,6500,0.0003187584807164967
5,7000,0.0002985753526445478
5,7500,0.00036172830732539296
6,0,0.0002944385341834277
6,500,0.0003362666175235063
6,1000,0.000289891439024359
6,1500,0.0004414699214976281
6,2000,0.00029649451607838273
6,2500,0.00034134541056118906
6,3000,0.00031597205088473856
6,3500,0.00035079693770967424
